YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1985,-5.18,-0.64,3.96,8.93,14.66,17.66,22.61,20.64,17.93,12.14,6.29,-1.31,-0.84,9.18,20.30,12.12,10.19
1986,-1.30,-2.75,4.05,8.42,14.15,18.35,21.20,20.73,16.62,11.33,4.58,0.98,-1.79,8.87,20.09,10.84,9.51
1987,-2.71,-2.76,2.84,6.51,13.34,17.84,21.59,20.44,17.73,11.24,5.49,1.20,-1.50,7.56,19.96,11.49,9.38
1988,-3.49,-1.04,3.06,7.43,13.56,19.66,22.61,23.44,17.33,9.44,6.99,-0.61,-1.11,8.02,21.90,11.25,10.02
1989,0.30,-1.95,2.05,6.92,14.55,19.15,22.10,21.23,17.42,11.93,4.78,-6.72,-0.75,7.84,20.83,11.38,9.82
1990,1.29,0.04,3.64,7.91,12.04,18.54,22.19,22.12,17.31,13.62,7.97,3.77,-1.80,7.86,20.95,12.97,10.00
1991,-2.52,1.13,4.43,9.90,16.73,20.43,23.08,22.41,16.70,12.51,6.06,1.17,0.79,10.35,21.97,11.76,11.22
1992,-1.72,-0.97,1.03,7.20,12.43,19.23,20.18,20.61,16.90,10.41,4.76,0.56,-0.51,6.89,20.01,10.69,9.27
1993,-0.93,-3.98,1.52,8.29,15.02,20.22,23.17,22.30,17.39,10.30,6.35,0.25,-1.45,8.28,21.90,11.35,10.02
1994,-6.54,-3.99,2.51,9.98,14.01,21.51,24.66,21.59,17.08,12.09,8.14,2.54,-3.43,8.83,22.59,12.44,10.11
1995,0.25,-3.20,2.90,6.97,13.30,19.60,23.75,21.88,16.47,13.68,4.23,-1.26,-0.14,7.72,21.74,11.46,10.20
1996,-2.25,-1.80,1.50,8.63,13.96,19.96,22.11,21.44,17.63,11.34,3.89,3.49,-1.77,8.03,21.17,10.95,9.60
1997,-2.10,1.65,2.35,7.72,13.25,20.05,23.00,21.53,17.62,11.03,4.68,1.28,1.01,7.77,21.53,11.11,10.36
1998,0.49,1.14,4.84,9.51,15.64,18.04,23.49,22.32,18.61,11.92,6.17,3.37,0.97,10.00,21.28,12.23,11.12
1999,-2.02,0.13,3.63,8.90,14.33,21.53,24.18,21.61,19.20,11.21,8.16,2.47,0.49,8.95,22.44,12.86,11.19
2000,-3.12,0.63,5.93,8.30,13.93,19.53,20.98,21.11,17.30,11.71,5.76,-1.94,-0.01,9.39,20.54,11.59,10.38
2001,-1.73,-0.88,1.52,8.99,15.22,21.62,20.97,23.00,18.19,12.90,8.35,4.25,-1.52,8.58,21.86,13.15,10.52
2002,2.06,1.71,4.21,9.48,14.31,19.01,23.86,23.79,19.98,10.89,5.34,0.14,2.67,9.33,22.22,12.07,11.57
2003,-5.05,-3.80,2.80,6.57,12.60,18.40,23.45,23.18,18.47,11.18,7.03,1.74,-2.90,7.32,21.68,12.23,9.58
2004,-6.95,-0.20,3.70,9.47,14.70,19.00,21.65,21.98,18.17,11.68,6.13,1.13,-1.80,9.29,20.88,11.99,10.09
2005,-3.56,-1.21,1.49,9.56,11.09,20.09,22.84,23.27,19.66,12.17,7.02,-0.28,-1.21,7.38,22.07,12.95,10.30
2006,1.83,-1.22,3.38,9.55,13.78,19.88,24.23,21.66,17.85,11.86,8.81,4.41,0.11,8.90,21.92,12.84,10.94
2007,-0.18,-3.93,2.67,7.04,16.27,20.07,22.62,22.25,19.54,14.65,5.40,-0.19,0.10,8.66,21.65,13.20,10.90
2008,0.12,-0.43,3.07,9.34,14.17,21.07,23.82,20.85,18.14,11.35,5.50,1.40,-0.17,8.86,21.91,11.66,10.57
2009,-4.59,-0.24,2.66,10.03,15.06,17.26,21.31,22.84,17.03,10.54,8.69,0.49,-1.14,9.25,20.47,12.09,10.17
2010,-1.90,0.05,6.25,11.42,16.95,21.15,25.00,22.73,20.12,12.73,6.38,-0.12,-0.45,11.54,22.96,13.08,11.78
2011,-3.01,-1.46,3.54,9.81,14.94,19.34,24.89,23.02,19.31,13.72,9.47,3.98,-1.53,9.43,22.42,14.17,11.12
2012,0.59,2.34,7.84,11.41,15.54,19.14,23.99,23.42,17.91,13.12,4.87,3.07,2.30,11.60,22.18,11.97,12.01
2013,-0.82,-1.07,2.83,9.10,14.73,20.73,24.88,22.01,17.90,13.21,999.90,999.90,0.39,8.89,22.54,12.64,11.11
