YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2007,3.26,-1.86,5.89,10.40,18.68,22.09,24.09,23.57,21.47,17.77,7.67,2.98,2.69,11.66,23.25,15.64,13.31
2008,2.73,2.33,6.13,12.97,15.82,23.56,26.01,23.45,20.69,13.08,7.91,3.63,2.68,11.64,24.34,13.89,13.14
2009,-2.03,2.86,6.03,12.74,17.17,19.94,22.82,24.51,19.30,12.99,10.87,2.43,1.49,11.98,22.42,14.39,12.57
2010,0.55,0.88,9.25,14.63,18.74,23.96,27.66,25.49,21.96,14.78,9.08,0.69,1.29,14.21,25.70,15.27,14.12
2011,-1.01,2.51,6.00,12.65,18.31,22.67,27.07,24.30,21.40,14.20,11.31,6.55,0.73,12.32,24.68,15.64,13.34
2012,3.24,5.21,10.80,12.92,18.67,21.94,26.25,25.11,20.73,14.75,6.87,5.55,5.00,14.13,24.43,14.12,14.42
2013,2.00,1.35,4.81,11.96,17.39,22.87,26.86,23.59,19.85,15.57,7.30,3.61,2.97,11.39,24.44,14.24,13.26
2014,-1.89,-0.22,3.12,11.23,17.72,22.41,24.46,23.55,20.90,15.29,7.34,4.70,0.50,10.69,23.47,14.51,12.29
2015,-1.19,-4.45,3.36,12.32,20.23,21.72,25.95,26.04,23.53,14.42,11.50,10.39,-0.31,11.97,24.57,16.48,13.18
2016,1.36,3.16,9.34,11.81,17.06,22.31,25.89,26.17,22.07,14.82,9.82,3.51,4.97,12.74,24.79,15.57,14.52
2017,3.33,5.33,3.99,13.93,16.12,22.17,24.84,23.33,21.37,17.82,8.10,1.70,4.06,11.35,23.45,15.76,13.65
2018,-0.13,5.59,4.53,9.69,19.36,22.02,25.34,25.61,21.50,14.25,6.87,4.52,2.39,11.19,24.32,14.21,13.03
2019,0.32,2.37,5.42,13.03,16.76,22.02,26.42,24.16,21.31,15.50,6.61,3.52,2.40,11.74,24.20,14.47,13.20
2020,3.97,4.51,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,4.00,999.90,999.90,999.90,999.90
